country,total_suicides
Albania,1970.0
Antigua and Barbuda,11.0
Argentina,82219.0
Armenia,1905.0
Aruba,101.0
Australia,70111.0
Austria,50073.0
Azerbaijan,1656.0
Bahamas,93.0
Bahrain,463.0
Barbados,177.0
Belarus,59892.0
Belgium,62761.0
Belize,348.0
Bosnia and Herzegovina,318.0
Brazil,226613.0
Bulgaria,36388.0
Cabo Verde,42.0
Canada,107561.0
Chile,40895.0
Colombia,53080.0
Costa Rica,6792.0
Croatia,18429.0
Cuba,41418.0
Cyprus,412.0
Czech Republic,43687.0
Denmark,15297.0
Dominica,0.0
Ecuador,20660.0
El Salvador,11683.0
Estonia,7034.0
Fiji,304.0
Finland,33677.0
France,329127.0
Georgia,3224.0
Germany,291262.0
Greece,12368.0
Grenada,38.0
Guatemala,8149.0
Guyana,3426.0
Hungary,73891.0
Iceland,1108.0
Ireland,12574.0
Israel,11294.0
Italy,132060.0
Jamaica,184.0
Japan,806902.0
Kazakhstan,101546.0
Kiribati,53.0
Kuwait,966.0
Kyrgyzstan,13090.0
Latvia,12770.0
Lithuania,28039.0
Luxembourg,1958.0
Macau,27.0
Maldives,20.0
Malta,585.0
Mauritius,3894.0
Mexico,111139.0
Mongolia,423.0
Montenegro,472.0
Netherlands,50833.0
New Zealand,14383.0
Nicaragua,2013.0
Norway,16992.0
Oman,33.0
Panama,3483.0
Paraguay,4783.0
Philippines,21330.0
Poland,139098.0
Portugal,24061.0
Puerto Rico,9043.0
Qatar,574.0
Republic of Korea,261730.0
Romania,72777.0
Russian Federation,1209742.0
Saint Kitts and Nevis,0.0
Saint Lucia,230.0
Saint Vincent and Grenadines,124.0
San Marino,4.0
Serbia,24179.0
Seychelles,98.0
Singapore,10089.0
Slovakia,13437.0
Slovenia,10615.0
South Africa,7321.0
Spain,100202.0
Sri Lanka,55641.0
Suriname,2166.0
Sweden,37795.0
Switzerland,26217.0
Thailand,110643.0
Trinidad and Tobago,4039.0
Turkey,10131.0
Turkmenistan,8624.0
Ukraine,319950.0
United Arab Emirates,622.0
United Kingdom,136805.0
United States,1034013.0
Uruguay,13138.0
Uzbekistan,34803.0
